Variable,Service,Required,Description,Example,Default
PORT,All Services,✅,Service port,3001,-
NODE_ENV,All Services,✅,Environment,development,development
JWT_SECRET,Auth Service,✅,Secret for token signing,your-secret-key-here,-
JWT_EXPIRY,Auth Service,❌,Token expiration time,24h,24h
BCRYPT_ROUNDS,Auth Service,❌,Password hashing rounds,10,10
DATABASE_URL,All Services,✅,PostgreSQL connection string,postgresql://user:pass@localhost:5432/db,-
STRIPE_SECRET_KEY,Payment Service,✅,Stripe API secret key,sk_test_..., -
STRIPE_WEBHOOK_SECRET,Payment Service,✅,Stripe webhook signing secret,whsec_..., -
PROMETHEUS_PORT,Monitoring,❌,Prometheus metrics port,9090,9090
GRAFANA_PORT,Monitoring,❌,Grafana dashboard port,3031,3031
