               Name                             Command               State                                                                                             Ports                                                                                          
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
flores-victoria_api-gateway_1        docker-entrypoint.sh npm start   Up      0.0.0.0:8000->3000/tcp,:::8000->3000/tcp                                                                                                                                                 
flores-victoria_cart-service_1       docker-entrypoint.sh npm start   Up      3005/tcp, 0.0.0.0:4004->4004/tcp,:::4004->4004/tcp                                                                                                                                       
flores-victoria_contact-service_1    docker-entrypoint.sh npm start   Up      3008/tcp, 0.0.0.0:4007->4007/tcp,:::4007->4007/tcp                                                                                                                                       
flores-victoria_grafana_1            /run.sh                          Up      0.0.0.0:3009->3000/tcp,:::3009->3000/tcp                                                                                                                                                 
flores-victoria_mongodb_1            docker-entrypoint.sh mongod      Up      0.0.0.0:27018->27017/tcp,:::27018->27017/tcp                                                                                                                                             
flores-victoria_order-service_1      docker-entrypoint.sh npm start   Up      3004/tcp, 0.0.0.0:4003->4003/tcp,:::4003->4003/tcp                                                                                                                                       
flores-victoria_postgres_1           docker-entrypoint.sh postgres    Up      0.0.0.0:5433->5432/tcp,:::5433->5432/tcp                                                                                                                                                 
flores-victoria_product-service_1    docker-entrypoint.sh npm start   Up      3002/tcp, 0.0.0.0:4002->4002/tcp,:::4002->4002/tcp                                                                                                                                       
flores-victoria_prometheus_1         /bin/prometheus --config.f ...   Up      0.0.0.0:9090->9090/tcp,:::9090->9090/tcp                                                                                                                                                 
flores-victoria_rabbitmq_1           docker-entrypoint.sh rabbi ...   Up      15671/tcp, 0.0.0.0:15672->15672/tcp,:::15672->15672/tcp, 15691/tcp, 0.0.0.0:15692->15692/tcp,:::15692->15692/tcp, 25672/tcp, 4369/tcp, 5671/tcp, 0.0.0.0:5672->5672/tcp,:::5672->5672/tcp
flores-victoria_redis_1              docker-entrypoint.sh redis ...   Up      0.0.0.0:6380->6379/tcp,:::6380->6379/tcp                                                                                                                                                 
flores-victoria_review-service_1     docker-entrypoint.sh npm start   Up      3007/tcp, 0.0.0.0:4006->4006/tcp,:::4006->4006/tcp                                                                                                                                       
flores-victoria_user-service_1       docker-entrypoint.sh npm start   Up      3003/tcp, 0.0.0.0:4001->4001/tcp,:::4001->4001/tcp                                                                                                                                       
flores-victoria_wishlist-service_1   docker-entrypoint.sh npm start   Up      3006/tcp, 0.0.0.0:4005->4005/tcp,:::4005->4005/tcp                                                                                                                                       
