=== Estado de los Contenedores Docker ===
CONTAINER ID   IMAGE                                                   COMMAND                  CREATED          STATUS          PORTS                                                                                                                                                                                          NAMES
9d08d949fbf5   microservices_api-gateway                               "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3000->3000/tcp, :::3000->3000/tcp                                                                                                                                                      microservices_api-gateway_1
45db481a52a1   microservices_cart-service                              "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3005->3005/tcp, :::3005->3005/tcp                                                                                                                                                      microservices_cart-service_1
848ecaf680e7   microservices_wishlist-service                          "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3006->3006/tcp, :::3006->3006/tcp                                                                                                                                                      microservices_wishlist-service_1
443aadc473d0   oliver006/redis_exporter:v1.50.0                        "/redis_exporter"        18 minutes ago   Up 18 minutes   0.0.0.0:9121->9121/tcp, :::9121->9121/tcp                                                                                                                                                      microservices_redis-exporter_1
9e24ed668049   microservices_order-service                             "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3004->3004/tcp, :::3004->3004/tcp                                                                                                                                                      microservices_order-service_1
a4c5e6d11d13   grafana/grafana-enterprise                              "/run.sh"                18 minutes ago   Up 18 minutes   0.0.0.0:3009->3000/tcp, [::]:3009->3000/tcp                                                                                                                                                    microservices_grafana_1
e67f66e8f6e9   microservices_user-service                              "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3003->3003/tcp, :::3003->3003/tcp                                                                                                                                                      microservices_user-service_1
2d872e2448e5   microservices_auth-service                              "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3001->3001/tcp, :::3001->3001/tcp                                                                                                                                                      microservices_auth-service_1
259bce269e81   quay.io/prometheuscommunity/postgres-exporter:v0.12.0   "/bin/postgres_expor…"   18 minutes ago   Up 18 minutes   0.0.0.0:9187->9187/tcp, :::9187->9187/tcp                                                                                                                                                      microservices_postgres-exporter_1
ab8cc527a9e3   percona/mongodb_exporter:0.35.0                         "/mongodb_exporter -…"   18 minutes ago   Up 18 minutes   0.0.0.0:9216->9216/tcp, :::9216->9216/tcp                                                                                                                                                      microservices_mongodb-exporter_1
2e3782383f04   redis:6-alpine                                          "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:6380->6379/tcp, [::]:6380->6379/tcp                                                                                                                                                    microservices_redis_1
8a644842fc9c   rabbitmq:3-management-alpine                            "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   4369/tcp, 5671/tcp, 0.0.0.0:5672->5672/tcp, :::5672->5672/tcp, 15671/tcp, 0.0.0.0:15672->15672/tcp, :::15672->15672/tcp, 15691/tcp, 25672/tcp, 0.0.0.0:15692->15692/tcp, :::15692->15692/tcp   microservices_rabbitmq_1
be08daa2b408   prom/prometheus:v2.45.0                                 "/bin/prometheus --c…"   18 minutes ago   Up 18 minutes   0.0.0.0:9090->9090/tcp, :::9090->9090/tcp                                                                                                                                                      microservices_prometheus_1
9f08d3bdbc00   microservices_review-service                            "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3007->3007/tcp, :::3007->3007/tcp                                                                                                                                                      microservices_review-service_1
e44aa0872b2b   mongo:4.4                                               "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:27018->27017/tcp, [::]:27018->27017/tcp                                                                                                                                                microservices_mongodb_1
b7b48f21ec92   postgres:13                                             "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                                                                                                                                                    microservices_postgres_1
cb9b2729d256   microservices_contact-service                           "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3008->3008/tcp, :::3008->3008/tcp                                                                                                                                                      microservices_contact-service_1
d32b2af2eb5b   microservices_product-service                           "docker-entrypoint.s…"   18 minutes ago   Up 18 minutes   0.0.0.0:3002->3002/tcp, :::3002->3002/tcp                                                                                                                                                      microservices_product-service_1
